element_id,node0_id,node1_id,node2_id
0,2,213,215
1,59,214,213
2,61,215,214
3,213,214,215
4,18,216,218
5,60,217,216
6,59,218,217
7,216,217,218
8,20,219,221
9,61,220,219
10,60,221,220
11,219,220,221
12,59,217,214
13,60,220,217
14,61,214,220
15,217,220,214
16,16,222,224
17,62,223,222
18,64,224,223
19,222,223,224
20,19,225,227
21,63,226,225
22,62,227,226
23,225,226,227
24,18,228,230
25,64,229,228
26,63,230,229
27,228,229,230
28,62,226,223
29,63,229,226
30,64,223,229
31,226,229,223
32,9,231,233
33,65,232,231
34,67,233,232
35,231,232,233
36,20,234,236
37,66,235,234
38,65,236,235
39,234,235,236
40,19,237,239
41,67,238,237
42,66,239,238
43,237,238,239
44,65,235,232
45,66,238,235
46,67,232,238
47,235,238,232
48,18,230,216
49,63,240,230
50,60,216,240
51,230,240,216
52,19,239,225
53,66,241,239
54,63,225,241
55,239,241,225
56,20,221,234
57,60,242,221
58,66,234,242
59,221,242,234
60,63,241,240
61,66,242,241
62,60,240,242
63,241,242,240
64,4,243,245
65,68,244,243
66,70,245,244
67,243,244,245
68,21,246,248
69,69,247,246
70,68,248,247
71,246,247,248
72,23,249,251
73,70,250,249
74,69,251,250
75,249,250,251
76,68,247,244
77,69,250,247
78,70,244,250
79,247,250,244
80,7,252,254
81,71,253,252
82,73,254,253
83,252,253,254
84,22,255,257
85,72,256,255
86,71,257,256
87,255,256,257
88,21,258,260
89,73,259,258
90,72,260,259
91,258,259,260
92,71,256,253
93,72,259,256
94,73,253,259
95,256,259,253
96,3,261,263
97,74,262,261
98,76,263,262
99,261,262,263
100,23,264,266
101,75,265,264
102,74,266,265
103,264,265,266
104,22,267,269
105,76,268,267
106,75,269,268
107,267,268,269
108,74,265,262
109,75,268,265
110,76,262,268
111,265,268,262
112,21,260,246
113,72,270,260
114,69,246,270
115,260,270,246
116,22,269,255
117,75,271,269
118,72,255,271
119,269,271,255
120,23,251,264
121,69,272,251
122,75,264,272
123,251,272,264
124,72,271,270
125,75,272,271
126,69,270,272
127,271,272,270
128,6,273,275
129,77,274,273
130,79,275,274
131,273,274,275
132,24,276,278
133,78,277,276
134,77,278,277
135,276,277,278
136,26,279,281
137,79,280,279
138,78,281,280
139,279,280,281
140,77,277,274
141,78,280,277
142,79,274,280
143,277,280,274
144,12,282,284
145,80,283,282
146,82,284,283
147,282,283,284
148,25,285,287
149,81,286,285
150,80,287,286
151,285,286,287
152,24,288,290
153,82,289,288
154,81,290,289
155,288,289,290
156,80,286,283
157,81,289,286
158,82,283,289
159,286,289,283
160,13,291,293
161,83,292,291
162,85,293,292
163,291,292,293
164,26,294,296
165,84,295,294
166,83,296,295
167,294,295,296
168,25,297,299
169,85,298,297
170,84,299,298
171,297,298,299
172,83,295,292
173,84,298,295
174,85,292,298
175,295,298,292
176,24,290,276
177,81,300,290
178,78,276,300
179,290,300,276
180,25,299,285
181,84,301,299
182,81,285,301
183,299,301,285
184,26,281,294
185,78,302,281
186,84,294,302
187,281,302,294
188,81,301,300
189,84,302,301
190,78,300,302
191,301,302,300
192,6,303,305
193,86,304,303
194,88,305,304
195,303,304,305
196,27,306,308
197,87,307,306
198,86,308,307
199,306,307,308
200,29,309,311
201,88,310,309
202,87,311,310
203,309,310,311
204,86,307,304
205,87,310,307
206,88,304,310
207,307,310,304
208,1,312,314
209,89,313,312
210,91,314,313
211,312,313,314
212,28,315,317
213,90,316,315
214,89,317,316
215,315,316,317
216,27,318,320
217,91,319,318
218,90,320,319
219,318,319,320
