x,y,ux,uy
0,0,0,0
8,0,0,0
8,3,0.00271893884,-0.0115191017
5,3,-0.001033077779,-0.01353837778
3,5,-0.01053967357,-0.02623235581
0,5,-0.01043345476,-0.03186407684
4,0,0,0
3.329166667,3.329166667,-0.004471241703,-0.02145754873
6,0.75,0.001282888142,-0.00426092357
8,1.5,0.003472983837,-0.00879334554
6.5,3,0.0007723604768,-0.0110636405
0,2.5,-0.01200537895,-0.02303590692
3.877525351,1.70749155,-0.0001693180148,-0.0118285354
2,0.7146825518,-0.001083799053,-0.006084721333
1.5,3.836647963,-0.008947903445,-0.0279593939
2.065942396,2.326265177,-0.005345541961,-0.01905809767
6.761363636,1.761363636,0.002220535636,-0.008366568061
0.6810161926,1.25,-0.005421787304,-0.01257629861
