x,y,ux,uy
0,0,0,0
8,0,0,0
8,3,0.002321850125,-0.01081198882
5,3,-0.0005291363808,-0.01363752267
3,5,-0.01193758884,-0.02672338498
0,5,-0.01246136504,-0.0343398313
4,0,0,0
3.329166667,3.329166667,-0.00426033773,-0.02169475929
6,0.75,0.001602704831,-0.004786176726
8,1.5,0.003854371118,-0.007841484484
6.5,3,0.0008149172451,-0.01092747517
0,2.5,-0.01126530307,-0.02552223268
3.877525351,1.70749155,0.0006314962963,-0.01226142734
2,0.7146825518,-0.0005451266224,-0.006882484444
1.5,3.836647963,-0.009356051265,-0.02954799899
2.065942396,2.326265177,-0.004146608991,-0.01963521779
6.761363636,1.761363636,0.002499706489,-0.008753373936
0.6810161926,1.25,-0.003925789175,-0.01276389357
