x,y,ux,uy
0,0,0,0
8,0,0,0
8,3,0.001316080678,-0.01077632694
5,3,-0.00185964475,-0.01381753841
3,5,-0.01468312603,-0.02745489529
0,5,-0.0154544277,-0.03655489185
4,0,0,0
3.329166667,3.329166667,-0.006162441494,-0.02249764466
6,0.75,0.001327876821,-0.004885300188
8,1.5,0.003270332002,-0.007852858518
6.5,3,-0.000267750498,-0.01113385203
0,2.5,-0.01290681494,-0.02771087485
3.877525351,1.70749155,-0.0002263951421,-0.01253050172
2,0.7146825518,-0.001125841393,-0.007482383985
1.5,3.836647963,-0.01156987448,-0.03080819574
2.065942396,2.326265177,-0.005691121778,-0.02077848252
6.761363636,1.761363636,0.001858575428,-0.008831673504
0.6810161926,1.25,-0.005655943971,-0.01439117245
